10000001,德里克
10000002,伏尔戈
10000003,静寂谷
10000004,UUA-F4
10000005,底特里德
10000006,邪恶湾流
10000007,地窖
10000008,灼热之径
10000009,因斯姆尔
10000010,特布特
10000011,大荒野
10000012,柯尔斯
10000013,糟粕之域
10000014,卡彻
10000015,维纳尔
10000016,长征
10000017,J7HZ-F
10000018,螺旋之域
10000019,A821-A
10000020,塔什蒙贡
10000021,域外走廊
10000022,混浊
10000023,黑渊
10000025,伊梅瑟亚
10000027,琉蓝之穹
10000028,摩登赫斯
10000029,对舞之域
10000030,西玛特尔
10000031,绝径
10000032,金纳泽
10000033,赛塔德洱
10000034,卡勒瓦拉阔地
10000035,德克廉
10000036,破碎
10000037,埃维希尔
10000038,幽暗之域
10000039,埃索特亚
10000040,欧莎
10000041,辛迪加
10000042,美特伯里斯
10000043,多美
10000044,孤独之域
10000045,特纳
10000046,斐德
10000047,普罗维登斯
10000048,宁静之域
10000049,卡尼迪
10000050,逑瑞斯
10000051,云环
10000052,卡多尔
10000053,钴蓝边域
10000054,艾里迪亚
10000055,血脉
10000056,非塔波利斯
10000057,外环
10000058,源泉之域
10000059,摄魂之域
10000060,绝地之域
10000061,特里菲斯
10000062,欧米斯特
10000063,贝斯
10000064,精华之域
10000065,柯埃佐
10000066,佩利根弗
10000067,吉勒西斯
10000068,维格温铎
10000069,暗涌之域
10000070,波赫文
10001000,雅斯纳·扎赫
